Code,UFMC
452-024,ОВД ШУМИХИНСКОГО РАЙОНА КУРГАНСКОЙ ОБЛ.
452-025,ПАСПОРТНО-ВИЗОВОЙ СЛУЖБОЙ ЩУЧАНСКОГО РОВД КУРГАНСКОЙ ОБЛ.
452-026,УВД Г. КУРГАНА КУРГАНСКОЙ ОБЛ.
453-001,КРАСНООКТЯБРЬСКИМ ПОСЕЛКОВЫМ ОМ КАРГАПОЛЬСКОГО РАЙОНА КУРГАНСКОЙ ОБЛ.
453-002,ВВЕДЕНСКИМ ПОСЕЛКОВЫМ ОМ КЕТОВСКОГО РАЙОНА КУРГАНСКОЙ ОБЛ.
453-003,МОСТОВСКИМ ПОСЕЛКОВЫМ ОМ ВАРГАШИНСКОГО РАЙОНА КУРГАНСКОЙ ОБЛ.
460-001,УФМС РОССИИ ПО КУРСКОЙ ОБЛ.
460-002,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-003,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-004,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-005,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-006,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-007,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-008,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-009,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-010,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-011,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-012,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-013,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-014,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-015,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-016,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-017,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-018,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-019,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-020,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-021,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-022,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-023,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-024,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-025,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-026,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-027,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-028,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-029,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-030,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-031,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-032,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-033,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-034,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-035,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-036,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
460-037,УМВД РОССИИ ПО КУРСКОЙ ОБЛ.
461-001,УВД КУРСКОЙ ОБЛ.
462-001,УВД Г. КУРСКА
462-002,ОВД БЕЛОВСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-003,ОВД БОЛЬШЕСОЛДАТСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-004,ОВД ГЛУШКОВСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-005,ОВД ГОРШЕЧЕНСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-006,ОВД ДМИТРИЕВСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-007,УВД Г. ЖЕЛЕЗНОГОРСКА И ЖЕЛЕЗНОГОРСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-009,ОВД ЗОЛОТУХИНСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-010,ОВД КАСТОРЕНСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-011,ОВД КОНЫШЕВСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-012,ОВД КОРЕНЕВСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-013,ОВД КУРСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-014,ОВД КУРЧАТОВСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-015,ОВД ЛЬГОВСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-016,ОВД МАНТУРОВСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-017,ОВД МЕДВЕНСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-018,ОВД ОБОЯНСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-019,ОКТЯБРЬСКИМ РОВД КУРСКОЙ ОБЛ.
462-020,ПОНЫРОВСКИМ РОВД КУРСКОЙ ОБЛ.
462-021,ОВД ПРИСТЕНСКОГО РАЙОНА КУРСКОЙ ОБЛ.
462-022,РЫЛЬСКИМ РОВД КУРСКОЙ ОБЛ.
462-023,СОВЕТСКИМ РОВД КУРСКОЙ ОБЛ.
462-024,СОЛНЦЕВСКИМ РОВД КУРСКОЙ ОБЛ.
462-025,СУДЖАНСКИМ РОВД КУРСКОЙ ОБЛ.
462-026,ТИМСКИМ РОВД КУРСКОЙ ОБЛ.
462-027,ФАТЕЖСКИМ РОВД КУРСКОЙ ОБЛ.
462-028,ХОМУТОВСКИМ РОВД КУРСКОЙ ОБЛ.
462-029,ЧЕРЕМИСИНОВСКИМ РОВД КУРСКОЙ ОБЛ.
462-030,ЩИГРОВСКИМ РОВД КУРСКОЙ ОБЛ.
463-001,ОТДЕЛОМ МИЛИЦИИ № 1 УВД Г. КУРСКА
463-002,ОТДЕЛОМ МИЛИЦИИ № 2 УВД Г. КУРСКА
463-003,ОТДЕЛОМ МИЛИЦИИ № 3 УВД Г. КУРСКА
463-004,ОТДЕЛОМ МИЛИЦИИ № 4 УВД Г. КУРСКА
463-005,ОТДЕЛОМ МИЛИЦИИ № 5 УВД Г. КУРСКА
463-006,ОТДЕЛОМ МИЛИЦИИ № 6 УВД Г. КУРСКА
463-007,ОТДЕЛОМ МИЛИЦИИ № 7 УВД Г. КУРСКА
463-008,ОТДЕЛОМ МИЛИЦИИ № 8 УВД Г. КУРСКА
470-001,ТП № 85 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В БОКСИТОГОРСКОМ РАЙОНЕ
470-002,ТП № 85 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В БОКСИТОГОРСКОМ РАЙОНЕ
470-003,ТП № 85 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В БОКСИТОГОРСКОМ РАЙОНЕ
470-004,ТП № 88 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВОЛОСОВСКОМ РАЙОНЕ
470-005,ТП № 89 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВОЛХОВСКОМ РАЙОНЕ
470-006,ТП № 90 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВОЛХОВСКОМ РАЙОНЕ
470-007,ТП № 91 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВОЛХОВСКОМ РАЙОНЕ
470-008,ТП № 92 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВОЛХОВСКОМ РАЙОНЕ
470-009,ТП № 93 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. ВО ВСЕВОЛОЖСКОМ РАЙОНЕ
470-010,ТП № 94 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВСЕВОЛОЖСКОМ РАЙОНЕ
470-011,ТП № 95 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. ВО ВСЕВОЛОЖСКОМ РАЙОНЕ
470-012,ТП № 96 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВСЕВОЛОЖСКОМ РАЙОНЕ
470-013,ТП № 97 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВСЕВОЛОЖСКОМ РАЙОНЕ
470-014,ТП № 98 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВЫБОРГСКОМ РАЙОНЕ
470-015,ТП № 99 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВЫБОРГСКОМ РАЙОНЕ
470-016,ТП № 100 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВЫБОРГСКОМ РАЙОНЕ
470-017,ТП № 101 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВЫБОРГСКОМ РАЙОНЕ
470-018,ТП № 102 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВЫБОРГСКОМ РАЙОНЕ
470-019,ТП № 103 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВЫБОРГСКОМ РАЙОНЕ
470-020,ТП № 104 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ГАТЧИНСКОМ РАЙОНЕ
470-021,ТП № 105 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ГАТЧИНСКОМ РАЙОНЕ
470-022,ТП № 106 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ГАТЧИНСКОМ РАЙОНЕ
470-023,ТП № 107 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ГАТЧИНСКОМ РАЙОНЕ
470-024,ТП № 108 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ГАТЧИНСКОМ РАЙОНЕ
470-025,ТП № 109 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ГАТЧИНСКОМ РАЙОНЕ
470-026,ТП № 110 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В КИНГИСЕППСКОМ РАЙОНЕ
470-027,ТП № 111 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В КИРИШСКОМ РАЙОНЕ
470-028,ТП № 112 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В КИРОВСКОМ РАЙОНЕ
470-029,ТП № 113 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В КИРОВСКОМ РАЙОНЕ
470-030,ТП № 114 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В КИРОВСКОМ РАЙОНЕ
470-031,ТП № 115 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В КИРОВСКОМ РАЙОНЕ
470-032,ТП № 116 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В КИРОВСКОМ РАЙОНЕ
470-033,ТП № 117 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ЛОДЕЙНОПОЛЬСКОМ РАЙОНЕ
470-034,ТП № 118 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ЛОДЕЙНОПОЛЬСКОМ РАЙОНЕ
470-035,ТП № 119 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ЛОМОНОСОВСКОМ РАЙОНЕ
470-036,ТП № 120 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ЛОМОНОСОВСКОМ РАЙОНЕ
470-037,ТП № 121 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ЛУЖСКОМ РАЙОНЕ
470-038,ТП № 122 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ЛУЖСКОМ РАЙОНЕ
470-039,ТП № 123 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ЛУЖСКОМ РАЙОНЕ
470-040,ТП № 124 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ЛУЖСКОМ РАЙОНЕ
470-041,ТП № 125 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ПОДПОРОЖСКОМ РАЙОНЕ
470-042,ТП № 126 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ПОДПОРОЖСКОМ РАЙОНЕ
470-043,ТП № 127 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ПОДПОРОЖСКОМ РАЙОНЕ
470-044,ТП № 128 ПРИОЗЕРСКОГО ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-045,ТП № 129 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ПРИОЗЕРСКОМ РАЙОНЕ
470-046,ТП № 130 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В СЛАНЦЕВСКОМ РАЙОНЕ
470-047,ТП № 131 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ТИХВИНСКОМ РАЙОНЕ
470-048,ТП № 132 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ТИХВИНСКОМ РАЙОНЕ
470-049,ТП № 133 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ТОСНЕНСКОМ РАЙОНЕ
470-050,ТП № 134 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ТОСНЕНСКОМ РАЙОНЕ
470-051,ТП № 135 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ТОСНЕНСКОМ РАЙОНЕ
470-052,ТП № 136 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ТОСНЕНСКОМ РАЙОНЕ
470-053,ТП № 137 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ТОСНЕНСКОМ РАЙОНЕ
470-054,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В Г. ИВАНГОРОД
470-055,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В Г. СОСНОВЫЙ БОР
470-056,УФМС ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-057,ТП № 138 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В КИНГИСЕППСКОМ РАЙОНЕ
470-058,ТП № 85 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В БОКСИТОГОРСКОМ РАЙОНЕ
470-059,ТП № 86 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В БОКСИТОГОРСКОМ РАЙОНЕ
470-060,ТП № 87 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В БОКСИТОГОРСКОМ РАЙОНЕ
470-061,ТП № 117 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ЛОДЕЙНОПОЛЬСКОМ РАЙОНЕ
470-062,ТП № 118 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ЛОДЕЙНОПОЛЬСКОМ РАЙОНЕ
470-063,ТП № 119 МРО № 2 УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. (ОБСЛУЖИВАЕТ ПЕТРОДВОРЦОВЫЙ Р-Н Г. САНКТ-ПЕТЕРБУРГА И ЛОМОНОСОВСКИЙ Р-Н ЛЕНИНГРАДСКОЙ ОБЛ.)
470-064,ТП № 120 МРО № 2 УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. (ОБСЛУЖИВАЕТ ПЕТРОДВОРЦОВЫЙ Р-Н Г. САНКТ-ПЕТЕРБУРГА И ЛОМОНОСОВСКИЙ Р-Н ЛЕНИНГРАДСКОЙ ОБЛ.)
470-065,ТП № 131 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ТИХВИНСКОМ РАЙОНЕ
470-066,ТП № 132 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ТИХВИНСКОМ РАЙОНЕ
470-067,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В Г. СОСНОВЫЙ БОР
470-068,ТП № 125 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ПОДПОРОЖСКОМ РАЙОНЕ
470-069,П № 126 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ПОДПОРОЖСКОМ РАЙОНЕ
470-070,ОТДЕЛОМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ПОДПОРОЖСКОМ РАЙОНЕ
470-071,ТП № 110 МРО № 1 УФМС РОССИИ ПО СПБ И ЛО (С МЕСТОМ ДИСЛОКАЦИИ В Г. КИНГИСЕПП ОБСЛУЖИВАЕТ Г. ИВАНГОРОД И КИНГИСЕППСКИЙ РАЙОН ЛО)
470-072,ТП № 128 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ПРИОЗЕРСКОМ РАЙОНЕ
470-073,ТП № 129 ОУФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ПРИОЗЕРСКОМ РАЙОНЕ
470-074,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-075,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-076,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-077,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-078,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-079,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-080,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-081,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-082,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-083,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-084,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-085,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-086,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-087,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-088,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-089,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-090,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-091,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-092,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-093,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-094,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-095,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-096,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-097,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-098,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-099,ГУ МВД РОССИИ ПО Г. САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ.
470-100,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВОЛОСОВСКОМ РАЙОНЕ
470-101,ОТДЕЛОМ УФМС РОССИИ ПО САНКТ- ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВОЛХОВСКОМ РАЙОНЕ
470-102,ОТДЕЛОМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. ВО ВСЕВОЛОЖСКОМ РАЙОНЕ
470-103,ОТДЕЛОМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ВЫБОРГСКОМ РАЙОНЕ
470-104,ОТДЕЛОМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ГАТЧИНСКОМ РАЙОНЕ
470-105,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В КИНГИСЕППСКОМ РАЙОНЕ
470-106,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В КИРИШСКОМ РАЙОНЕ
470-107,ОТДЕЛОМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В КИРОВСКОМ РАЙОНЕ
470-108,ОТДЕЛОМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ЛОДЕЙНОПОЛЬСКОМ РАЙОНЕ
470-109,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ЛОМОНОСОВСКОМ РАЙОНЕ
470-110,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ЛУЖСКОМ РАЙОНЕ
470-111,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ПОДПОРОЖСКОМ РАЙОНЕ
470-112,ОТДЕЛОМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ПРИОЗЕРСКОМ РАЙОНЕ
470-113,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В СЛАНЦЕВСКОМ РАЙОНЕ
470-114,ОТДЕЛОМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ТИХВИНСКОМ РАЙОНЕ
470-115,ОТДЕЛОМ УФМС РОССИИ ПО САНКТ-ПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ. В ТОСНЕНСКОМ РАЙОНЕ
